trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
13,13,1,55,52,51,58,51,58,55,58,52,59,47
37,26,1,52,51,45,57,45,54,50,51,48,53,52
61,39,1,65,65,58,70,62,68,69,69,66,68,67
85,52,1,71,65,63,73,66,68,70,71,69,69,69
109,65,1,68,56,53,71,46,65,53,67,47,64,51
133,78,1,45,35,39,47,41,42,45,46,42,44,34
157,91,1,29,23,25,31,25,29,28,30,27,29,24
181,104,1,37,29,31,36,31,35,34,36,34,36,31
205,117,1,33,29,30,33,31,32,31,33,30,32,28
229,130,1,19,17,13,23,14,22,19,22,18,21,14
253,143,1,27,21,22,26,24,25,27,27,26,26,24
277,156,1,49,47,42,49,44,51,53,50,51,51,50
301,169,1,49,47,47,55,49,54,54,54,53,54,50
325,182,1,37,34,27,40,25,39,36,39,35,39,34
349,195,1,32,36,24,40,22,45,36,38,36,44,34
373,208,1,28,24,23,34,24,34,30,35,29,35,23
397,221,1,35,32,30,39,31,41,36,41,35,40,27
421,234,1,44,41,38,43,38,42,39,40,40,43,43
445,247,1,33,26,28,36,29,35,33,35,31,35,26
469,260,1,31,24,28,32,28,30,30,33,29,31,24
493,273,1,29,22,26,32,27,30,29,31,28,30,21
517,286,1,47,41,39,49,40,48,47,51,45,48,41
541,299,1,28,21,21,34,20,31,28,33,27,31,22
565,312,1,37,40,21,51,20,51,30,47,29,47,31
589,325,1,20,16,17,25,18,22,20,23,18,22,15
613,338,1,35,24,26,29,27,22,20,24,19,22,21
637,351,1,41,31,35,31,35,30,27,30,26,29,27
661,364,1,32,24,28,32,28,29,30,29,29,29,25
685,377,1,45,36,35,45,35,43,44,65,41,49,38
709,390,1,35,30,25,49,24,42,30,45,28,42,30
733,403,1,28,18,21,30,20,26,27,28,26,27,17
757,13,2,32,22,27,34,27,31,32,23,29,28,21
781,26,2,43,31,34,41,36,38,39,30,34,35,27
805,39,2,50,37,45,49,45,39,35,36,34,36,36
829,52,2,43,37,40,45,41,45,45,36,43,43,36
853,65,2,40,34,36,43,35,39,37,42,34,39,30
877,78,2,63,35,51,66,53,44,33,47,33,38,35
901,91,2,48,37,45,53,46,45,49,53,45,47,39
925,104,2,37,31,31,39,31,38,37,41,35,39,30
949,117,2,48,37,43,46,46,43,47,52,44,45,37
973,130,2,47,44,46,50,47,49,48,52,47,50,43
997,143,2,44,38,40,49,41,46,46,51,42,47,38
1021,156,2,39,36,36,35,37,35,41,39,40,36,39
1045,169,2,47,42,43,53,42,50,51,54,48,51,41
1069,182,2,51,44,46,54,47,52,53,54,48,52,43
1093,195,2,43,37,38,44,37,43,44,44,40,43,35
1117,208,2,35,27,28,33,28,30,31,33,30,30,26
1141,221,2,38,30,35,35,37,31,34,35,32,31,33
1165,234,2,39,40,35,42,37,43,44,43,41,43,37
1189,247,2,53,52,50,57,51,56,57,56,55,55,53
1213,260,2,60,56,48,66,49,63,60,68,56,64,57
1237,273,2,61,46,54,64,56,57,58,63,53,57,44
1261,286,2,45,40,44,50,45,49,46,52,43,49,40
1285,299,2,47,40,42,48,43,45,47,48,44,46,39
1309,312,2,52,43,44,54,47,50,46,53,42,50,40
1333,325,2,42,41,37,44,38,45,43,45,42,45,40
1357,338,2,38,34,37,38,39,35,37,38,35,36,34
1381,351,2,45,44,40,45,40,46,46,48,45,47,43
1405,364,2,50,49,47,50,49,53,53,53,52,54,48
1429,377,2,63,58,61,64,62,65,64,68,61,66,57
1453,13,3,64,59,60,68,62,65,66,70,63,67,60
1477,26,3,68,62,60,70,62,65,70,71,68,67,69
1501,39,3,62,60,60,65,61,66,66,68,64,67,60
1525,52,3,74,69,57,79,55,78,68,81,58,79,66
1549,65,3,77,69,58,80,62,73,67,80,61,74,70
1573,78,3,63,60,62,64,63,64,65,67,64,65,62
1597,91,3,59,54,53,60,54,59,57,62,55,60,54
1621,104,3,49,42,46,51,46,49,49,51,46,49,42
