Hour,Optimal_Segments_K,Breakpoints
1,4,[-0.10098001 -0.04671732  0.0185579 ]
2,3,[-0.04566522  0.0285215 ]
3,4,[-0.07463642 -0.01752396  0.0592043 ]
4,4,[-0.09644325 -0.0075805   0.06071396]
5,4,[-0.08547834 -0.02300936  0.04529791]
6,3,[-0.0102318   0.06202105]
7,5,[-0.11182702 -0.072323    0.0056101   0.08261872]
8,4,[-0.09786866 -0.01707274  0.0578928 ]
9,4,[-0.10332378 -0.03187008  0.03506544]
10,3,[-0.05677796  0.01947025]
11,4,[-0.0494645   0.02763094  0.08979453]
12,4,[-0.0950325  -0.03967558  0.03006016]
13,4,[-0.09381483 -0.00776188  0.06641697]
14,4,[-0.09668965 -0.04186579  0.02589563]
15,4,[-0.11311301 -0.0470253   0.0555138 ]
16,3,[-0.04652805  0.04194163]
17,4,[-0.10351321 -0.05187146  0.03290307]
18,4,[-0.08446755 -0.00292019  0.06760948]
19,3,[-0.05726953  0.01326023]
20,3,[-0.04700668  0.02889479]
21,4,[-0.05857062  0.00642338  0.08300745]
22,3,[-0.03600179  0.0491815 ]
23,4,[-0.08759921 -0.01628856  0.04770109]
24,4,[-0.09745174 -0.04463547  0.02405404]
