Hour,Optimal_Segments_K,Breakpoints
1,21,"[-0.14068726 -0.13117125 -0.1214007  -0.11136671 -0.10095417 -0.09049598
 -0.07979166 -0.06840977 -0.05391796 -0.03823913 -0.0232941  -0.00991921
  0.00282357  0.01533012  0.02869604  0.04646861  0.06883893  0.08963718
  0.10794595  0.12534268]"
2,26,"[-0.13843188 -0.13224881 -0.12592538 -0.11954382 -0.11311468 -0.10568668
 -0.09747842 -0.08830318 -0.07806867 -0.06658939 -0.05163139 -0.03413696
 -0.01840449 -0.00385748  0.00965695  0.02237988  0.03569952  0.05011358
  0.06456229  0.07920986  0.09196479  0.10366172  0.1150159   0.12625312
  0.13688946]"
3,26,"[-0.12627654 -0.12008663 -0.11389399 -0.10762292 -0.10128581 -0.09476772
 -0.08818564 -0.08149002 -0.07471814 -0.06785102 -0.06075724 -0.05333112
 -0.04555049 -0.03706539 -0.02820012 -0.01842262 -0.00648536  0.00692694
  0.02077256  0.03538727  0.0501389   0.06529     0.08265677  0.10194925
  0.13002944]"
4,20,"[-0.14054238 -0.13403842 -0.1273309  -0.1203197  -0.11176293 -0.10040394
 -0.08856745 -0.07386058 -0.04749485 -0.02767513 -0.01391917 -0.00131444
  0.01073847  0.0228127   0.03674173  0.05139715  0.06795375  0.08706609
  0.11101014]"
5,15,"[-1.20065921e-01 -9.43757665e-02 -6.90721766e-02 -4.93803256e-02
 -3.15097213e-02 -1.54295939e-02  7.46794950e-05  1.35296611e-02
  2.66773758e-02  3.98144106e-02  5.36057218e-02  6.87231865e-02
  8.64356571e-02  1.07183511e-01]"
6,25,"[-0.14053384 -0.13424603 -0.12752104 -0.12079605 -0.11390268 -0.10668134
 -0.09905161 -0.09061685 -0.0821483  -0.0696745  -0.05129111 -0.03857085
 -0.02861961 -0.01840703 -0.00581993  0.00774866  0.02222546  0.03778097
  0.05393516  0.07014344  0.08632643  0.10223902  0.11798717  0.13349889]"
7,21,"[-0.13802553 -0.12940314 -0.12050501 -0.11045011 -0.09837549 -0.08058543
 -0.05109675 -0.03771303 -0.02695893 -0.01701387 -0.00724133  0.00234209
  0.01186262  0.02156076  0.03294034  0.04741384  0.06486051  0.08395987
  0.10156316  0.11756989]"
8,20,"[-0.10915682 -0.08945968 -0.07563521 -0.06289184 -0.05003039 -0.03278525
 -0.01605763 -0.00404641  0.00694643  0.01764521  0.0280941   0.03907906
  0.05064591  0.06294003  0.07686802  0.09716847  0.1142618   0.12753472
  0.13696997]"
9,25,"[-0.14035191 -0.13404777 -0.12733405 -0.11973057 -0.11033326 -0.09993532
 -0.08863552 -0.07490043 -0.05680149 -0.04571736 -0.03573373 -0.02605152
 -0.01701948 -0.00828668  0.00036988  0.00939731  0.01972962  0.03032426
  0.0418133   0.05485798  0.06938511  0.0847843   0.11953019  0.13499833]"
10,23,"[-0.12833084 -0.10833291 -0.08249178 -0.06945768 -0.05682306 -0.04486599
 -0.03428091 -0.02455416 -0.01492905 -0.00547014  0.00468504  0.01552465
  0.02873594  0.04329008  0.05812923  0.0715548   0.08319815  0.09412719
  0.10462643  0.11474058  0.12444283  0.13384389]"
11,31,"[-0.14242646 -0.13762797 -0.13279278 -0.12795759 -0.1231224  -0.11828721
 -0.11329949 -0.10820036 -0.10269058 -0.09698742 -0.09111017 -0.0850678
 -0.07884668 -0.07194621 -0.06445189 -0.05575453 -0.04338313 -0.02777775
 -0.01192425  0.00200634  0.01414223  0.02729565  0.04256906  0.05842775
  0.07382051  0.08742074  0.10017936  0.11214224  0.12362259  0.13456118]"
12,18,"[-0.1346102  -0.1227425  -0.10894263 -0.08867767 -0.05788358 -0.0410464
 -0.02723425 -0.01475113 -0.00306392  0.00830367  0.01965728  0.03118679
  0.04361588  0.06151037  0.09507781  0.11614374  0.13117813]"
13,18,"[-0.11330862 -0.0944404  -0.07901302 -0.06495523 -0.05148783 -0.03857646
 -0.02714438 -0.01592634 -0.00435918  0.00861872  0.02344921  0.04089109
  0.05951544  0.07930546  0.09738102  0.11264755  0.12720557]"
14,18,"[-0.13438546 -0.12274337 -0.10925299 -0.08490892 -0.05506794 -0.03825266
 -0.02522925 -0.0132099  -0.00146356  0.01022841  0.02203425  0.03470164
  0.04961353  0.0655522   0.08201222  0.09873061  0.11593541]"
15,19,"[-0.14057322 -0.13169008 -0.12199437 -0.11085327 -0.0934581  -0.07498136
 -0.06315824 -0.05101265 -0.03716983 -0.01802552 -0.00100589  0.01503
  0.03051133  0.0460366   0.06221998  0.07943298  0.09759113  0.11836299]"
16,27,"[-1.37769339e-01 -1.26532957e-01 -1.15791590e-01 -1.05608006e-01
 -9.58369078e-02 -8.61569236e-02 -7.67922050e-02 -6.76909772e-02
 -5.85897495e-02 -4.95053989e-02 -4.03956421e-02 -3.10457315e-02
 -2.13668053e-02 -1.10564747e-02 -9.63126651e-06  1.26925474e-02
  2.77920115e-02  4.73906654e-02  6.67631447e-02  8.07884430e-02
  9.25452749e-02  1.03425207e-01  1.13601731e-01  1.23059845e-01
  1.32073997e-01  1.40414047e-01]"
17,23,"[-0.13753438 -0.12688553 -0.11608421 -0.10410661 -0.09091591 -0.07518449
 -0.05880057 -0.04422181 -0.03015589 -0.01744761 -0.00652707  0.00431932
  0.01541658  0.02822107  0.04252108  0.07220324  0.08595446  0.09659228
  0.10600936  0.11521577  0.12413881  0.1327193 ]"
18,22,"[-0.13131855 -0.11904903 -0.10650439 -0.09262298 -0.07696571 -0.06143938
 -0.0467872  -0.03382876 -0.02135326 -0.00988025  0.00056764  0.01148364
  0.02320669  0.03619014  0.05586767  0.07857668  0.09208177  0.1034847
  0.11377079  0.12375785  0.13330119]"
19,23,"[-0.12954061 -0.11164668 -0.09518491 -0.07981304 -0.06532513 -0.05269528
 -0.04107903 -0.02998219 -0.01905925 -0.00812605  0.00350233  0.01552252
  0.02849799  0.04240418  0.05648768  0.07010081  0.08246539  0.09439175
  0.10540504  0.11582364  0.12594591  0.13573754]"
20,19,"[-0.12390794 -0.08882179 -0.06742428 -0.05015774 -0.03543463 -0.02250542
 -0.01079355  0.0005567   0.0117345   0.02320453  0.03511827  0.04743731
  0.06076262  0.07463982  0.08813303  0.10118578  0.11361803  0.12590368]"
21,18,"[-0.12476573 -0.11184172 -0.086981   -0.06951177 -0.05571652 -0.04388181
 -0.03272629 -0.02164817 -0.01021844  0.00144371  0.01354874  0.02583614
  0.03865871  0.05241283  0.06765106  0.08602867  0.11958723]"
22,22,"[-0.13472043 -0.12544107 -0.11521934 -0.10437645 -0.09184267 -0.07315128
 -0.03936054 -0.02191286 -0.01008551  0.00112758  0.01227163  0.02309668
  0.03376156  0.04443528  0.05522568  0.06609448  0.07763156  0.08939347
  0.10142283  0.1154551   0.13141093]"
23,21,"[-0.12133323 -0.10861043 -0.0958167  -0.08289137 -0.06990896 -0.05715111
 -0.045114   -0.03348776 -0.02207231 -0.01087336  0.00016233  0.01123632
  0.02246213  0.0339097   0.04551493  0.05817047  0.07226258  0.0882322
  0.1150275   0.13428114]"
24,22,"[-0.14070932 -0.13144129 -0.12187468 -0.11139895 -0.09993369 -0.08665546
 -0.07193336 -0.05518688 -0.03745904 -0.02124965 -0.00621249  0.005985
  0.01753512  0.02961565  0.04236963  0.05536036  0.06909228  0.08340391
  0.0981409   0.11315565  0.12974827]"
