Hour,Segment,Breakpoint_Start,Breakpoint_End,Slope,Intercept
1,1,-inf,-0.10098001,-244.04628374061758,-21.35577201534648
1,2,-0.10098001,-0.04671732,4.963993036655961,3.7892882237253667
1,3,-0.04671732,0.0185579,-75.597874903593,0.025653659363015446
1,4,0.0185579,inf,23.735686632711584,-1.817768642271571
2,1,-inf,-0.04566522,-72.91317892372254,-0.823031683811374
2,2,-0.04566522,0.0285215,-41.096241665838264,0.6298957557961082
2,3,0.0285215,inf,13.663077124900322,-0.9319221550939424
3,1,-inf,-0.07463642,-142.1618846113525,-8.774820933170874
3,2,-0.07463642,-0.01752396,4.934269589072766,2.203909412116828
3,3,-0.01752396,0.0592043,-42.2448457594378,1.377144481914143
3,4,0.0592043,inf,37.567469714624174,-3.3480877871068646
4,1,-inf,-0.09644325,-148.1130632348784,-9.076835438249958
4,2,-0.09644325,-0.0075805,-49.330904595624524,0.45003698293526284
4,3,-0.0075805,0.06071396,-17.010512899344683,0.6950417121889122
4,4,0.06071396,inf,23.25808618114566,-1.7498244016400153
5,1,-inf,-0.08547834,-103.22278595298309,-2.1336517057802364
5,2,-0.08547834,-0.02300936,-106.53566252730603,-2.416830895978249
5,3,-0.02300936,0.04529791,-0.27930404576796775,0.02805990861251359
5,4,0.04529791,inf,12.61176699133756,-0.5558786670298993
6,1,-inf,-0.0102318,-83.9548809753145,-1.2569610400958506
6,2,-0.0102318,0.06202105,8.516392630491849,-0.3108134628159614
6,3,0.06202105,inf,17.278886830817225,-0.8542725537390516
7,1,-inf,-0.11182702,-219.3055569532047,-16.969152539044238
7,2,-0.11182702,-0.072323,-60.745492288832466,0.76214698337981
7,3,-0.072323,0.0056101,-70.07260598227002,0.08758213972932527
7,4,0.0056101,0.08261872,7.980949718768227,-0.35030611310906934
7,5,0.08261872,inf,30.319955237655446,-2.1959261551524674
8,1,-inf,-0.09786866,-150.54498675868226,-7.311962007901176
8,2,-0.09786866,-0.01707274,-79.88744558624705,-0.3968031344601153
8,3,-0.01707274,0.0578928,-19.545636929224393,0.6333968758709816
8,4,0.0578928,inf,34.15241309405526,-2.475333594516743
9,1,-inf,-0.10332378,-117.57723610137252,-3.5535521418395746
9,2,-0.10332378,-0.03187008,-90.54219656793573,-0.7601896647954494
9,3,-0.03187008,0.03506544,-44.27800031125021,0.7142539710408187
9,4,0.03506544,inf,25.42184533708623,-1.729801784550184
10,1,-inf,-0.05677796,-111.33338772043814,-3.0893237562269364
10,2,-0.05677796,0.01947025,-50.613574610727504,0.35822336372369
10,3,0.01947025,inf,16.630800591110486,-0.9510414325498963
11,1,-inf,-0.0494645,-87.68882568253277,-0.9606984710928526
11,2,-0.0494645,0.02763094,-65.213543037753,0.15103014728985587
11,3,0.02763094,0.08979453,39.33245423446782,-2.7376740305790412
11,4,0.08979453,inf,13.199548804039292,-0.3910820699192643
12,1,-inf,-0.0950325,-104.25382273314307,-3.3406121068178276
12,2,-0.0950325,-0.03967558,-105.75648050018778,-3.4834134310645037
12,3,-0.03967558,0.03006016,-11.717472352264764,0.2476387598290682
12,4,0.03006016,inf,11.80606817487238,-0.45948263218315866
13,1,-inf,-0.09381483,-121.52966728782583,-6.038785310444615
13,2,-0.09381483,-0.00776188,-58.34962754460991,-0.1115606225415684
13,3,-0.00776188,0.06641697,-7.035451257596882,0.28673385609707225
13,4,0.06641697,inf,22.010784691308096,-1.6424291255342713
14,1,-inf,-0.09668965,-150.16791389751103,-9.24711855510482
14,2,-0.09668965,-0.04186579,-64.44500437302715,-0.9586004362008058
14,3,-0.04186579,0.02589563,-35.183395677819846,0.26645992849491695
14,4,0.02589563,inf,14.44668056356442,-1.0187421627237607
15,1,-inf,-0.11311301,-184.12521322395835,-14.418045984379093
15,2,-0.11311301,-0.0470253,-65.56544356602352,-1.0073935734634123
15,3,-0.0470253,0.0555138,-29.711168764031573,0.6786644553826997
15,4,0.0555138,inf,28.59569091585002,-2.5581708915143113
16,1,-inf,-0.04652805,-79.4164518291361,-1.9511314152672954
16,2,-0.04652805,0.04194163,-28.62895957240897,0.4119115638283173
16,3,0.04194163,inf,19.850472589336633,-1.621394842509717
17,1,-inf,-0.10351321,-124.54305612829494,-6.810000100736768
17,2,-0.10351321,-0.05187146,-85.45767989651192,-2.764147342927205
17,3,-0.05187146,0.03290307,-24.994008788290174,0.37219155441607477
17,4,0.03290307,inf,15.31188319427685,-0.9539960308987668
18,1,-inf,-0.08446755,-142.17107893645593,-7.165514418498709
18,2,-0.08446755,-0.00292019,-58.961043635277385,-0.1369666011946462
18,3,-0.00292019,0.06760948,-0.6099831635588507,0.03342958208426155
18,4,0.06760948,inf,17.615177741786773,-1.1987640696424853
19,1,-inf,-0.05726953,-92.50333510243225,-1.1334431669842147
19,2,-0.05726953,0.01326023,-69.14230350258345,0.20443213305427443
19,3,0.01326023,inf,15.259064666808227,-0.9147494211865381
20,1,-inf,-0.04700668,-93.85229029520471,-1.8437072172850995
20,2,-0.04700668,0.02889479,-40.86276072090261,0.6471546427646557
20,3,0.02889479,inf,20.284452195602917,-1.119681233543059
21,1,-inf,-0.05857062,-83.04608642057615,-0.34164080292674903
21,2,-0.05857062,0.00642338,-79.72633621997772,-0.14720097543257538
21,3,0.00642338,0.08300745,15.996724314250981,-0.7620665680069294
21,4,0.08300745,inf,23.670323605058062,-1.3990324774586336
22,1,-inf,-0.03600179,-94.95698296514875,-1.740620835102753
22,2,-0.03600179,0.0491815,-26.39985996466642,0.7275583101647819
22,3,0.0491815,inf,26.609822613541287,-1.8795373935553408
23,1,-inf,-0.08759921,-146.03481815137192,-7.854788528328754
23,2,-0.08759921,-0.01628856,-56.195323976418884,0.015080188196733957
23,3,-0.01628856,0.04770109,-21.77637714625896,0.5757152687766037
23,4,0.04770109,inf,22.949575997425864,-1.5577614474660888
24,1,-inf,-0.09745174,-114.0646580179268,-4.217794422802466
24,2,-0.09745174,-0.04463547,-98.52178344685571,-2.7031142512498345
24,3,-0.04463547,0.02405404,-26.798440148698276,0.49829088683477196
24,4,0.02405404,inf,8.953387482543349,-0.3616850050802193
